success,message,timestamp,anomaly_index,action_index,block_info
True,Logged successfully,2025-11-16T18:56:46.386256,293,0,
True,Alert logged: ALERT: BENIGN detected: host-based anomaly detection event (rootcheck).,2025-11-16T18:56:46.386510,293,1,
True,Logged successfully,2025-11-16T18:56:46.386629,296,2,
True,Alert logged: ALERT: BENIGN detected: new user added to the system.,2025-11-16T18:56:46.386781,296,3,
True,Logged successfully,2025-11-16T18:56:46.386895,297,4,
True,Alert logged: ALERT: BENIGN detected: new group added to the system.,2025-11-16T18:56:46.387019,297,5,
True,Logged successfully,2025-11-16T18:56:46.387128,317,6,
True,Alert logged: ALERT: BENIGN detected: host-based anomaly detection event (rootcheck).,2025-11-16T18:56:46.387268,317,7,
True,Logged successfully,2025-11-16T18:56:46.387411,328,8,
True,Logged successfully,2025-11-16T18:56:46.387553,337,9,
True,Logged successfully,2025-11-16T18:56:46.387677,347,10,
True,Alert logged: ALERT: BENIGN detected: host-based anomaly detection event (rootcheck).,2025-11-16T18:56:46.387798,347,11,
True,Logged successfully,2025-11-16T18:56:46.387934,348,12,
True,Logged successfully,2025-11-16T18:56:46.388068,354,13,
True,Logged successfully,2025-11-16T18:56:46.388177,355,14,
True,Logged successfully,2025-11-16T18:56:46.388292,356,15,
True,Logged successfully,2025-11-16T18:56:46.388397,357,16,
True,Logged successfully,2025-11-16T18:56:46.388500,369,17,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.388617,369,18,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.388789,369,19,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.388916,369,20,
True,Logged successfully,2025-11-16T18:56:46.389015,370,21,
True,Alert logged: ALERT: BRUTE_FORCE detected: pam: user login failed.,2025-11-16T18:56:46.389133,370,22,
True,Logged successfully,2025-11-16T18:56:46.389277,374,23,
True,Logged successfully,2025-11-16T18:56:46.389473,375,24,
True,Logged successfully,2025-11-16T18:56:46.389679,376,25,
True,Logged successfully,2025-11-16T18:56:46.389857,393,26,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.390093,393,27,
False,pfSense not enabled. Enable with ENABLE_PFSENSE=true,2025-11-16T18:56:46.390273,393,28,{'status': 'pfSense_not_configured'}
True,Escalation sent: ESCALATION: CRITICAL: malware detected - Immediate attention required,2025-11-16T18:56:46.390463,393,29,
True,Logged successfully,2025-11-16T18:56:46.390712,395,30,
True,Alert logged: ALERT: MALWARE detected: suricata: alert - suricata stream fin1 fin with wrong seq,2025-11-16T18:56:46.390980,395,31,
